Campaign_ID,Campaign_Type,Channel,Budget,Impressions,Clicks,Conversions,Cost_Per_Click,Date,CTR,Conversion_Rate,ROI
CMP_0001,Google_Ads,Facebook,8999,15148,452,15,1.97,2024-12-13,2.98,3.32,-91.67
CMP_0002,Content_Marketing,LinkedIn,879,17322,634,57,2.28,2024-02-04,3.66,8.99,224.23
CMP_0003,Influencer,Facebook,9577,26419,324,42,3.11,2024-09-09,1.23,12.96,-78.07
CMP_0004,Social_Media,LinkedIn,4520,11927,317,33,4.43,2024-01-29,2.66,10.41,-63.5
CMP_0005,Email_Campaign,Google,2452,80945,2198,83,1.84,2024-06-18,2.72,3.78,69.25
CMP_0006,Google_Ads,Google,6153,12161,326,25,2.29,2024-10-10,2.68,7.67,-79.68
CMP_0007,Content_Marketing,LinkedIn,3678,65519,2031,68,2.35,2024-10-06,3.1,3.35,-7.56
CMP_0008,Influencer,Email,7170,85355,3148,320,4.63,2024-02-10,3.69,10.17,123.15
CMP_0009,Social_Media,Facebook,8964,16827,467,43,2.3,2024-03-04,2.78,9.21,-76.02
CMP_0010,Social_Media,Twitter,2453,69989,2672,265,4.15,2024-09-21,3.82,9.92,440.15
CMP_0011,Influencer,Twitter,4365,8987,194,20,1.9,2024-10-07,2.16,10.31,-77.09
CMP_0012,Google_Ads,Instagram,2506,16844,564,29,4.56,2024-05-03,3.35,5.14,-42.14
CMP_0013,Influencer,Google,9104,89536,2000,236,4.62,2024-03-27,2.23,11.8,29.61
CMP_0014,Influencer,Email,7749,72960,3644,84,0.79,2024-12-17,4.99,2.31,-45.8
CMP_0015,Email_Campaign,Twitter,6944,43866,1511,201,2.72,2024-06-10,3.44,13.3,44.73
CMP_0016,Content_Marketing,Instagram,2594,21267,662,37,0.97,2024-10-05,3.11,5.59,-28.68
CMP_0017,Influencer,LinkedIn,7890,69970,1571,185,4.0,2024-12-07,2.25,11.78,17.24
CMP_0018,Email_Campaign,Google,7541,65173,3010,276,3.24,2024-04-26,4.62,9.17,83.0
CMP_0019,Content_Marketing,Facebook,8799,94353,2772,101,1.59,2024-05-31,2.94,3.64,-42.61
CMP_0020,Email_Campaign,Twitter,9871,57348,590,37,2.39,2024-11-12,1.03,6.27,-81.26
CMP_0021,Email_Campaign,Email,752,26478,328,37,1.09,2024-12-18,1.24,11.28,146.01
CMP_0022,Content_Marketing,Facebook,2773,96572,2974,162,0.85,2024-01-06,3.08,5.45,192.1
CMP_0023,Google_Ads,Email,4662,68713,1973,86,0.62,2024-04-21,2.87,4.36,-7.76
CMP_0024,Content_Marketing,Google,4200,88132,1261,71,0.62,2024-03-29,1.43,5.63,-15.48
CMP_0025,Google_Ads,Instagram,8717,43065,954,115,4.79,2024-11-09,2.22,12.05,-34.04
CMP_0026,Email_Campaign,Twitter,1316,98101,4493,507,1.94,2024-02-07,4.58,11.28,1826.29
CMP_0027,Google_Ads,Email,3647,21357,1065,88,3.51,2024-03-07,4.99,8.26,20.65
CMP_0028,Content_Marketing,Instagram,5829,98375,4035,384,4.87,2024-04-23,4.1,9.52,229.39
CMP_0029,Email_Campaign,LinkedIn,5540,18828,257,24,1.93,2024-01-29,1.36,9.34,-78.34
CMP_0030,Google_Ads,LinkedIn,9830,75808,3040,346,0.69,2024-09-14,4.01,11.38,75.99
CMP_0031,Google_Ads,Twitter,8316,23747,514,75,4.95,2024-07-19,2.16,14.59,-54.91
CMP_0032,Email_Campaign,Email,2525,33425,1471,123,3.62,2024-01-11,4.4,8.36,143.56
CMP_0033,Email_Campaign,Email,6718,19834,654,37,0.67,2024-03-19,3.3,5.66,-72.46
CMP_0034,Social_Media,Google,7694,89046,2795,117,2.74,2024-01-07,3.14,4.19,-23.97
CMP_0035,Email_Campaign,Email,4118,35070,1200,132,2.14,2024-04-05,3.42,11.0,60.27
CMP_0036,Influencer,Facebook,530,38953,1237,107,1.46,2024-05-14,3.18,8.65,909.43
CMP_0037,Social_Media,Instagram,4850,12388,385,43,0.74,2024-09-10,3.11,11.17,-55.67
CMP_0038,Social_Media,Email,3325,88513,1820,46,3.85,2024-04-24,2.06,2.53,-30.83
CMP_0039,Email_Campaign,Twitter,7136,34700,1300,139,1.04,2024-01-19,3.75,10.69,-2.61
CMP_0040,Content_Marketing,Instagram,3166,55942,2778,383,2.93,2024-04-14,4.97,13.79,504.86
CMP_0041,Email_Campaign,Instagram,1813,2629,43,3,2.24,2024-04-17,1.64,6.98,-91.73
CMP_0042,Content_Marketing,Twitter,1239,91365,1175,40,2.5,2024-08-30,1.29,3.4,61.42
CMP_0043,Google_Ads,Facebook,9980,78437,980,120,4.66,2024-03-18,1.25,12.24,-39.88
CMP_0044,Content_Marketing,Twitter,7740,82263,851,85,0.55,2024-06-24,1.03,9.99,-45.09
CMP_0045,Social_Media,Instagram,9232,43178,1958,207,3.43,2024-10-06,4.53,10.57,12.11
CMP_0046,Content_Marketing,LinkedIn,1857,52539,1446,206,4.08,2024-03-01,2.75,14.25,454.66
CMP_0047,Influencer,LinkedIn,7176,96582,3104,203,0.84,2024-11-07,3.21,6.54,41.44
CMP_0048,Social_Media,Facebook,2068,75841,3742,282,1.63,2024-01-31,4.93,7.54,581.82
CMP_0049,Content_Marketing,Twitter,5147,37206,1853,206,4.74,2024-06-22,4.98,11.12,100.12
CMP_0050,Social_Media,Facebook,9492,87526,2590,323,0.92,2024-11-26,2.96,12.47,70.14
CMP_0051,Google_Ads,LinkedIn,3066,24400,1164,122,3.9,2024-10-25,4.77,10.48,98.96
CMP_0052,Email_Campaign,Twitter,6271,74783,1177,123,3.91,2024-09-17,1.57,10.45,-1.93
CMP_0053,Email_Campaign,Instagram,9626,2643,43,3,0.74,2024-10-14,1.63,6.98,-98.44
CMP_0054,Social_Media,Instagram,1347,5907,68,3,4.52,2024-03-06,1.15,4.41,-88.86
CMP_0055,Email_Campaign,Twitter,4658,15553,703,79,1.84,2024-01-04,4.52,11.24,-15.2
CMP_0056,Email_Campaign,LinkedIn,2794,60317,1590,225,0.99,2024-04-02,2.64,14.15,302.65
CMP_0057,Social_Media,Instagram,3466,41690,1850,161,0.86,2024-08-21,4.44,8.7,132.26
CMP_0058,Google_Ads,Twitter,2869,95376,2714,276,0.52,2024-02-29,2.85,10.17,381.0
CMP_0059,Google_Ads,Twitter,2848,67090,875,54,4.76,2024-02-26,1.3,6.17,-5.2
CMP_0060,Email_Campaign,Twitter,4269,20843,852,59,4.6,2024-04-03,4.09,6.92,-30.9
CMP_0061,Google_Ads,Google,9768,93451,4628,392,3.16,2024-04-14,4.95,8.47,100.66
CMP_0062,Influencer,Facebook,3533,89113,1499,223,4.0,2024-12-22,1.68,14.88,215.6
CMP_0063,Google_Ads,Email,9385,34674,1612,224,2.7,2024-09-23,4.65,13.9,19.34
CMP_0064,Content_Marketing,LinkedIn,771,63701,893,116,4.16,2024-11-21,1.4,12.99,652.27
CMP_0065,Email_Campaign,LinkedIn,979,50215,1234,67,3.4,2024-03-24,2.46,5.43,242.19
CMP_0066,Influencer,Google,7211,36722,1649,218,1.49,2024-08-18,4.49,13.22,51.16
CMP_0067,Email_Campaign,Facebook,2188,1329,56,5,1.19,2024-11-13,4.21,8.93,-88.57
CMP_0068,Email_Campaign,Google,1028,89927,2741,395,4.89,2024-03-03,3.05,14.41,1821.21
CMP_0069,Social_Media,Instagram,6137,88105,4248,148,2.35,2024-04-30,4.82,3.48,20.58
CMP_0070,Email_Campaign,Facebook,9078,75704,1493,175,4.14,2024-04-06,1.97,11.72,-3.61
CMP_0071,Google_Ads,Google,8944,56094,1013,137,1.02,2024-05-31,1.81,13.52,-23.41
CMP_0072,Social_Media,Twitter,6803,60913,2602,133,3.85,2024-02-21,4.27,5.11,-2.25
CMP_0073,Google_Ads,Instagram,8886,52551,626,65,0.56,2024-07-29,1.19,10.38,-63.43
CMP_0074,Content_Marketing,Twitter,3739,6844,214,31,3.84,2024-12-28,3.13,14.49,-58.55
CMP_0075,Influencer,Google,7415,80725,2207,75,2.66,2024-11-23,2.73,3.4,-49.43
